"term","estimate","std_err","z_value","p_value","ci_low","ci_high","odds_ratio","odds_ratio_ci_low","odds_ratio_ci_high","nobs","formula"
"agreement_pre_likert",1.03127626320674,0.0660287385319534,15.6185970856867,5.43892157655756e-55,0.90185993568411,1.16069259072937,2.80464301418929,2.46418207171819,3.19214335958384,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"mean_logos_z",-0.0200302275750023,0.0760438997390628,-0.263403476725077,0.792239611160334,-0.169076271063565,0.129015815913561,0.980169044725643,0.844444494250091,1.13770811791669,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"mean_pathos_z",-0.0679447568026836,0.0758844035090067,-0.895371824259239,0.370588357193934,-0.216678187680337,0.0807886740749696,0.93431208653852,0.805189047370611,1.08414176509553,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"mean_ethos_z",-0.161307106558183,0.0746900543390055,-2.15968656048953,0.0307969422992874,-0.307699613062634,-0.0149146000537322,0.851030673869642,0.735136110130543,0.98519607170216,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"treatment_typeHuman-AI, personalized",0.152426383380475,0.209481623436502,0.727636061244669,0.466836399703878,-0.258157598555068,0.563010365316019,1.16465672084797,0.772473481808783,1.75595060459578,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"treatment_typeHuman-Human",0.190549420970352,0.193270879003717,0.985918944191729,0.324172889844353,-0.188261501876933,0.569360343817637,1.20991416729212,0.828398051260691,1.7671363301572,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"treatment_typeHuman-Human, personalized",0.227323195014811,0.227175987243212,1.00064799001596,0.316997020236967,-0.217941739981885,0.672588130011507,1.25523548824173,0.804172291394078,1.95930169169351,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Artificial Intelligence Good for Society?",-0.165300274393283,0.49771687513944,-0.332117078302745,0.739800854745253,-1.14082534966658,0.810224800880019,0.847639141541572,0.319555168194008,2.24841337517384,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Arts Education as Important as Science and Math in Schools?",-0.268260053676204,0.515229180064656,-0.520661608572984,0.602602523173329,-1.27810924660293,0.741589139250522,0.764708889884749,0.278563497721414,2.09926889578904,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Government Surveillance Necessary for National Security?",-0.313631468938691,0.526268731276371,-0.595953075490604,0.55120657485303,-1.34511818224038,0.717855244362995,0.730788296726046,0.260508918513006,2.0500316752307,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Online Learning a Suitable Replacement for Traditional In-Person Education?",0.0469492607403466,0.517432114444626,0.0907351117754616,0.92770307053012,-0.967217683571121,1.06111620505181,1.04806882949405,0.38013923572486,2.88959456990139,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Space Exploration a Worthwhile Investment for Humanity?",0.163540900999322,0.519196310300729,0.314988565509249,0.752770335694269,-0.854083867190108,1.18116566918875,1.17767352222631,0.425672985491581,3.25816993848286,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Abortion Be Legal?",0.212493023323569,0.554707529103122,0.383072181600164,0.70166624514342,-0.87473373371855,1.29971978036569,1.23675748507839,0.416973030756964,3.66826860269758,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Animals Be Used For Scientific Research?",0.30685475323331,0.541504462234725,0.566670774912836,0.57093788011011,-0.75449399274675,1.36820349921337,1.3591435425296,0.47024850369239,3.92828718155429,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Colleges Consider Race as a Factor in Admissions to Ensure Diversity?",-0.102797624502557,0.522542174402595,-0.196725986031811,0.844041973542947,-1.12698028633164,0.92138503732653,0.902309560351462,0.324010198662555,2.51276825872253,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Elected or Appointed Government Officials Be Paid the Minimum Wage?",-0.458240511668755,0.527375545854134,-0.868907394874732,0.38489778449966,-1.49189658154286,0.575415558205347,0.632395359451954,0.224945622999698,1.77786918155284,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Every Citizen Receive a Basic Income from the Government?",0.294060799679193,0.519819669148302,0.565697716211848,0.571599288000859,-0.724785751851479,1.31290735120987,1.34186548617793,0.484428345714137,3.71696453959793,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Felons Regain the Right to Vote?",-0.143389439408695,0.521688853762369,-0.274856245009999,0.783426684261783,-1.16589959278294,0.879120713965549,0.866416586422167,0.311642184833594,2.40878076768803,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Governments Have the Right to Censor the Internet?",0.0598769915114927,0.544886445261819,0.10988893563451,0.912497457484166,-1.00810044120167,1.12785442422466,1.06170593966977,0.364911492464932,3.08902165485619,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Public College Be Tuition-Free?",-0.109725799195814,0.544397481184722,-0.201554568101653,0.840264965600085,-1.17674486231787,0.95729326392624,0.896079807417051,0.308280602920579,2.60463685893154,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Students Have to Wear School Uniforms?",-0.0204763210257754,0.520283462811213,-0.0393560866131263,0.96860649056948,-1.04023190813575,0.999279266084202,0.97973189524615,0.35337272244632,2.71632337639877,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the Death Penalty Be Legal?",-0.541743310973789,0.537639493143348,-1.00763302897718,0.313630666594566,-1.59551671753475,0.512030095587174,0.581733225961079,0.202803709191237,1.66867532914781,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the Penny Stay in Circulation?",-0.584432457172376,0.524345226476422,-1.11459478919974,0.265024104319909,-1.61214910106616,0.443284186721411,0.557422132988502,0.199458496664127,1.55781498177377,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the Rich Pay More Taxes?",-0.267037822075695,0.547923512396219,-0.487363319941986,0.626000882502145,-1.34096790637228,0.806892262220894,0.765644112668152,0.261592349103697,2.24093292205203,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the US Ban Fossil Fuels to Combat Climate Change?",-0.227277389386792,0.507503830509952,-0.447833840305043,0.654273118807768,-1.2219848971863,0.767430118412715,0.796699755579668,0.294644746588169,2.15422303601387,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the US Enact More Regulations to Ensure Fair Elections?",-0.140423375742973,0.537487671626352,-0.261258784444439,0.793892948278091,-1.19389921213062,0.913052460644677,0.868990248113926,0.303037350488559,2.49191741578936,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the US Expand (“pack”) the Supreme Court?",0.3301912059581,0.520264081627433,0.634660776360406,0.525649680517976,-0.689526394031668,1.34990880594787,1.39123411528579,0.501813674747231,3.85707377247141,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the US Have Mandatory National Service?",-0.579675767044314,0.549125112313532,-1.05563514406046,0.291134938214713,-1.65596098717884,0.496609453090208,0.560079933501079,0.190908506898105,1.6431406698812,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the US Keep Using the Electoral College in Presidential Elections?",-0.378538755783232,0.525152136440453,-0.720817320384556,0.471021917431215,-1.40783694320652,0.650759431640055,0.68486142819968,0.244671950503268,1.9169961038482,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould the US Provide Military Aid to Ukraine in its Conflict With Russia?",-0.117101827586242,0.526565650104511,-0.222387897051393,0.8240119326978,-1.14917050179108,0.9149668466186,0.88949461346227,0.316899527975957,2.49669247673484,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould there be International Agreements to Enforce Global Climate Change Policies?",0.271619691691042,0.528674771179743,0.513774642744763,0.607409558412979,-0.764582859821254,1.30782224320334,1.31208790847887,0.465528080944518,3.69811134933799,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould There Be Limits on Freedom of Speech to Prevent Hate Speech?",-0.235361649504117,0.533463988632446,-0.441195009446608,0.659071825820539,-1.28095106722371,0.810227768215477,0.790284991766291,0.277772993996291,2.24842004698047,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould there be Mandatory Quotas for Women in Leadership Positions?",-0.173751299805724,0.531660142706315,-0.326808962810859,0.743812380009476,-1.2158051795101,0.868302579898653,0.840505905649215,0.29647120562492,2.38286269974216,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould There Be Standardized Testing in Schools?",-0.72861666828441,0.518611608580877,-1.40493705931147,0.160039995290635,-1.74509542110293,0.287862084534108,0.48257609138503,0.174628324944405,1.3335733710473,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Transgender People Be Banned From Using Bathrooms Consistent With Their Gender Identity?",-0.652240901383587,0.553726259978833,-1.17791217163607,0.238831622151641,-1.7375443709421,0.433062568174925,0.520877233441747,0.175951943250467,1.54197269609984,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Washington, DC, and Puerto Rico Be Granted US Statehood?",-0.203938066621722,0.514934405568817,-0.396046689473863,0.692070585072229,-1.2132095015366,0.805333368293159,0.815512877090784,0.297241749011754,2.23744226681491,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"1|2",0.987015640283514,0.452617198074071,2.18068523353368,0.0292067059770453,0.0998859320583351,1.87414534850869,2.6832148332984,1.10504486069352,6.51524847336432,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"2|3",2.22164357196549,0.45584072901184,4.87372766532187,1.09511930637397e-06,1.32819574310229,3.1150914008287,9.22247621960044,3.77422756455304,22.5354900218287,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"3|4",3.87847745178678,0.469983174350975,8.25237511351927,1.55277130425877e-16,2.95731043005886,4.79964447351469,48.350542968108,19.2461382469136,121.467225025558,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"4|5",5.23519674983984,0.486591169170288,10.7589226470481,5.37953842655994e-27,4.28147805826607,6.1889154414136,187.766045649587,72.3472945359791,487.317295346124,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
